ResponseId,MainBranch,Employment,RemoteWork,CodingActivities,EdLevel,YearsCode,YearsCodePro,DevType,OrgSize,PurchaseInfluence,Country,Currency,CompTotal,CompFreq,NEWSOSites,SOVisitFreq,SOAccount,SOPartFreq,SOComm,Age,Gender,Trans,Sexuality,Ethnicity,Accessibility,MentalHealth,ICorPM,WorkExp,ConvertedCompYearly
12,"I am not primarily a developer, but I write code sometimes as part of my work","Employed, full-time;Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Contribute to open-source projects;Freelance/contract work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,10,Engineering manager,20 to 99 employees,I have some influence,United States of America,USD	United States dollar,194400,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.)",People manager,14,194400
13,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",12,5,"Developer, full-stack",2 to 9 employees,I have a great deal of influence,United States of America,USD	United States dollar,65000,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,Not sure/can't remember,NA,Neutral,25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,5,65000
15,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed",Fully remote,Hobby;Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",11,5,"Developer, full-stack;Academic researcher;DevOps specialist","5,000 to 9,999 employees",I have little or no influence,United States of America,USD	United States dollar,110000,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,Less than once per month or monthly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,5,110000
29,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby;Contribute to open-source projects,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",20,14,"Developer, desktop or enterprise applications;Developer, embedded applications or devices;Developer, game or graphics","10,000 or more employees",I have little or no influence,United States of America,USD	United States dollar,130000,Yearly,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, somewhat",35-44 years old,Man,No,Straight / Heterosexual,Prefer not to say,None of the above,None of the above,Independent contributor,14,130000
32,I am a developer by profession,"Employed, full-time",Fully remote,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",24,21,"Developer, full-stack","10,000 or more employees",I have some influence,United States of America,USD	United States dollar,102000,Yearly,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,"Yes, definitely",55-64 years old,Man,No,Straight / Heterosexual,Middle Eastern,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder",Independent contributor,21,102000
48,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",6,5,"Developer, full-stack;Developer, back-end","1,000 to 4,999 employees",I have little or no influence,United States of America,USD	United States dollar,135000,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,No,NA,"No, not really",25-34 years old,Woman,No,Straight / Heterosexual,White;European;Asian;East Asian,None of the above,I have an anxiety disorder,Independent contributor,5,135000
54,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",15,10,"Developer, front-end;Developer, full-stack;Developer, desktop or enterprise applications",100 to 499 employees,I have little or no influence,United States of America,USD	United States dollar,170000,Yearly,Collectives on Stack Overflow;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow,Multiple times per day,Yes,Less than once per month or monthly,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,White;Middle Eastern,NA,NA,Independent contributor,12,170000
56,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9,5,"Developer, full-stack;Developer, back-end",100 to 499 employees,I have some influence,United States of America,USD	United States dollar,141000,Yearly,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per month or weekly,"Yes, somewhat",25-34 years old,Woman,No,Straight / Heterosexual,Black;Caribbean,None of the above,None of the above,Independent contributor,5,141000
77,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",24,20,"Developer, back-end;Marketing or sales professional",500 to 999 employees,I have some influence,United States of America,USD	United States dollar,160000,Yearly,Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,"Yes, somewhat",35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,27,160000
86,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",10,7,"Data scientist or machine learning specialist;Engineer, data;Developer, full-stack;Developer, back-end",100 to 499 employees,I have some influence,United States of America,USD	United States dollar,95000,Yearly,Stack Overflow,Daily or almost daily,No,NA,"Yes, somewhat",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,Prefer not to say,Independent contributor,7,95000
94,I am a developer by profession,"Employed, full-time",Fully remote,Hobby;Contribute to open-source projects;Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",9,5,"Developer, front-end",10 to 19 employees,I have a great deal of influence,United States of America,USD	United States dollar,166000,Yearly,Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,A few times per week,Yes,Less than once per month or monthly,"No, not really",25-34 years old,Woman,No,Straight / Heterosexual,Hispanic or Latino/a,None of the above,None of the above,Independent contributor,5,166000
96,I am a developer by profession,"Employed, full-time",Fully remote,I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,4,"Developer, embedded applications or devices;Security professional",100 to 499 employees,I have some influence,United States of America,USD	United States dollar,92000,Yearly,Stack Overflow;Stack Exchange,A few times per week,Yes,A few times per month or weekly,"Yes, somewhat",25-34 years old,Man,No,NA,NA,None of the above,None of the above,Independent contributor,4,92000
98,I am a developer by profession,"Independent contractor, freelancer, or self-employed",Fully remote,I don’t code outside of work,Some college/university study without earning a degree,26,22,"Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;DevOps specialist;Data or business analyst",100 to 499 employees,I have a great deal of influence,United States of America,USD	United States dollar,450000,Yearly,Stack Overflow;Stack Exchange,Less than once per month or monthly,Yes,Less than once per month or monthly,"No, not really",35-44 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,22,450000
108,I am a developer by profession,"Employed, full-time",Full in-person,I don’t code outside of work,Some college/university study without earning a degree,7,5,"Data scientist or machine learning specialist;Developer, front-end;Developer, full-stack;Developer, back-end;Developer, desktop or enterprise applications;Developer, QA or test;Database administrator;Developer, embedded applications or devices",100 to 499 employees,I have little or no influence,United States of America,USD	United States dollar,35000,Yearly,Stack Overflow;Stack Exchange,Multiple times per day,Yes,Multiple times per day,"Yes, definitely",25-34 years old,Man,No,Straight / Heterosexual,White,None of the above,"I have an anxiety disorder;I have a concentration and/or memory disorder (e.g., ADHD, etc.)",Independent contributor,13,35000
114,I am a developer by profession,"Employed, full-time;Independent contractor, freelancer, or self-employed","Hybrid (some remote, some in-person)",Hobby;Freelance/contract work,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",27,25,"Developer, back-end;Database administrator;Project manager;Security professional","1,000 to 4,999 employees",I have some influence,United States of America,USD	United States dollar,130000,Yearly,Stack Overflow;Stack Exchange,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",45-54 years old,Man,No,Straight / Heterosexual,White,None of the above,I have an anxiety disorder,Independent contributor,30,130000
116,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",I don’t code outside of work,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",7,3,"Developer, back-end",100 to 499 employees,I have some influence,United States of America,USD	United States dollar,110000,Yearly,Stack Overflow,Daily or almost daily,Yes,A few times per month or weekly,"Yes, somewhat",18-24 years old,Man,No,Straight / Heterosexual,White,None of the above,None of the above,Independent contributor,3,110000
133,I am a developer by profession,"Employed, full-time",Fully remote,Hobby,"Bachelor’s degree (B.A., B.S., B.Eng., etc.)",5,5,"Developer, full-stack","10,000 or more employees",I have some influence,United States of America,USD	United States dollar,98000,Yearly,Stack Overflow;Stack Exchange,A few times per week,No,NA,"No, not really",25-34 years old,Man,No,Gay or Lesbian,White,None of the above,"I have a mood or emotional disorder (e.g., depression, bipolar disorder, etc.);I have an anxiety disorder",Independent contributor,5,98000
154,I am a developer by profession,"Employed, full-time","Hybrid (some remote, some in-person)",Hobby,"Master’s degree (M.A., M.S., M.Eng., MBA, etc.)",15,11,"Developer, front-end;Engineer, data;Developer, full-stack;Developer, back-end;Engineering manager;Database administrator;Cloud infrastructure engineer;Data or business analyst","1,000 to 4,999 employees",I have some influence,United States of America,USD	United States dollar,200000,Yearly,Collectives on Stack Overflow;Stack Overflow for Teams (private knowledge sharing & collaboration platform for companies);Stack Overflow;Stack Exchange,Multiple times per day,Yes,A few times per week,"No, not at all",25-34 years old,Man,No,Straight / Heterosexual,Asian;South Asian,None of the above,None of the above,People manager,11,200000
